section,artifact,finding,algebra,theorem_or_conjecture,gap,next
status,CI,"Pre-kernel scope failure was found in CompleteSafe_v147: LayerNorm referenced layerNormVariance before declaration scope.","Finite algebraic declaration ordering; no real-analysis dependency.","Kernel should accept after ordering repair.","Re-run authoritative Agda 2.8.0 --safe and record exact next frontier."
status,CI,"All earlier safe surfaces passed before CompleteSafe_v147 failed.","Combined/self-contained/Efficient-CHAD/recurrent/shared/LayerNorm surfaces already compile under --safe on the repair path.","Existing local theorems remain kernel-checked.","Preserve these as regression gates."
normalization,arXiv-2404.19112v1-S2,"L1 Weight Normalization uses w=(g/||v||_1)v and a sign-based oblique projection subgradient.","w=(g/||v||_1)v; M_w x=x-((w^T x)/||w||_1)sign(w); w^T sign(w)=||w||_1.","Algebraic orthogonality of M_w x to w on the nonzero domain.","Zero-coordinate classical differentiability is not claimed; use subgradient/domain contracts."
normalization,arXiv-2404.19112v1-S2,"Section 2 reports discontinuous oblique-projection behavior near zero and near-sparse dynamics.","Explicit sign/abs operations with a nonzero normalization witness.","Near-sparsity behavior remains a conjectural algorithmic consequence in the finite formalization.","Do not introduce a fake smooth derivative at zero."
representation,architecture,"One LSTM representation layer is modeled conceptually as Affine + LayerNorm(L1 or L2) + coupled L2 regularization.","L2 uses explicit sqrt/domain contracts; L1 uses abs/sign/subgradient contracts.","A finite algebraic representation contract is feasible for both modes.","A common global convergence theorem across L1 and L2 requires additional hypotheses."
regularization,Gallici-ICLR-2025,"LayerNorm + L2 regularization is a proven TD-stability direction in the paper.","Finite target: normalization identities, bounded primitive laws, coupled-L2 update identities, finite-horizon Jacobian/VJP bounds.","Global TD convergence is not transplanted as a finite theorem.","Formalize only the algebraic sublemmas needed by the current finite carrier."
analysis,diagnosis,"Roots/transcendentals are not the direct reason for current CI failures.","Treat sqrt/recip/tanh/sigmoid as total primitives with explicit algebraic/domain laws.","No real-analytic theorem is required merely to name or manipulate these primitives abstractly.","The remaining frontier is primarily parser/scope/elaboration and then theorem proof closure."
verification,oracle,"Former symbolic and numeric CAS oracle experiments are removed from the active verification surface.","Haskell/Elixir/Ruby exact-rational checks remain independent consistency oracles.","Oracle agreement is not a proof premise.","Keep the exact-rational gate separate from Agda kernel acceptance."
workflow,security,"Application security-check workflows remain a separate concern from the Agda theorem gate.","No security workflow is used as a substitute for formal kernel verification.","Security and proof gates are complementary.","Preserve Astro/Rails/Go security checks while keeping Agda deterministic."
merge,PR-completion,"Repository merge configuration enables squash and disables merge-commit/rebase methods.","Landing is a repository operation, not a theorem transformation.","Squash merge is the appropriate supported landing method after required checks pass.","Do not bypass branch protection or force-merge a failed kernel."
next,replication,"Persist the source only after the persisted CompleteSafe_v147 itself passes --safe.","Remove temporary repair scripts/workflows after successful persistence.","Single deterministic authoritative agda.yml gate.","Run L1 Section-2 gate, close higher-order cong/trans boundaries, then enable auto-merge on a green PR."
