theorem_id,stage,statement_shape,assumptions,finite_or_infinite,proof_status,kernel_status,external_oracle_status,semantic_version,source_path,notes
EAT-01,Stage01,"finite algebra operation boundary","FiniteAlgebra instance",finite,kernel-proved,green,not-authoritative,current,Exotic/ERL/Stages/Stage01_FiniteAlgebra.agda,"Structural algebra agreement"
EAT-02,Stage02,"CHAD identity/composition boundary","CHAD primal/pullback structure",finite,kernel-proved,green,not-authoritative,current,Exotic/ERL/Stages/Stage02_CHAD.agda,"Primal/reverse transport boundary"
EAT-03,Stage03,"linear critic finite update shape","LinearState",finite,kernel-proved,green,not-authoritative,current,Exotic/ERL/Stages/Stage03_LinearLearner.agda,"Finite TD/critic state boundary"
EAT-04,Stage04,"q-projection idempotence","qProject definition",finite,kernel-proved,green,not-authoritative,current,Exotic/ERL/Stages/Stage04_QProjection.agda,"Retraction/normal-form candidate"
EAT-05,Stage05,"representation expansion boundary","Representation","finite structure over function fields",kernel-proved,green,not-authoritative,current,Exotic/ERL/Stages/Stage05_Representation.agda,"affine -> layerNorm -> tanh"
EAT-06,Stage05,"finite VJP transport shape","forward and pullback functions",finite,kernel-proved,green,not-authoritative,current,Exotic/ERL/Stages/Stage05_Representation.agda,"Direct pullback transport"
EAT-07,Stage06,"coupled L2 state preservation","CoupledState/coupledStep",finite,kernel-proved,green,not-authoritative,current,Exotic/ERL/Stages/Stage06_CoupledLearner.agda,"l2 field is preserved by coupledStep"
EAT-08,Stage07,"archive max/insert shape","finite archive and maxNat",finite,kernel-proved,green,not-authoritative,current,Exotic/ERL/Stages/Stage07_OuterFinite.agda,"Incumbent composition"
EAT-09,Stage08,"integrated coupled certificate","all Stage01..07 boundaries",finite,kernel-proved,green,not-authoritative,current,Exotic/ERL/Stages/Stage08_Integration.agda,"Simultaneous compositional witness"
EAT-10,Stage08,"method preservation under outer step","outerStep definition",finite,kernel-proved,green,not-authoritative,current,Exotic/ERL/Stages/Stage08_Integration.agda,"State field is unchanged"
EAT-20,Future,"finite-horizon state bound","finite step-bound certificate",finite,design-candidate,not-yet-checked,evidence-only,next,,"Induction over explicit fuel/index"
EAT-21,Future,"finite-horizon Jacobian-entry/norm bound","finite matrix + explicit Jacobian/VJP bound certificate",finite,requires-new-certificate,not-yet-checked,evidence-only,next,,"Cannot follow from arbitrary Representation functions alone"
EAT-22,Future,"finite-horizon tracking bound","one-step error recurrence e' <= a*e + b",finite,design-candidate,not-yet-checked,evidence-only,next,,"Finite unrolling, no limits required"
EAT-23,Future,"local convergence via ranking function","not-terminal -> V(step s) < V(s)",finite,design-candidate,not-yet-checked,evidence-only,next,,"Constructive finite termination/convergence"
EAT-24,Future,"bounded coupled perturbation","finite discrepancy + one-step affine bound",finite,requires-new-certificate,not-yet-checked,evidence-only,next,,"Robustness theorem for the coupled state"
EAT-25,Future,"finite invariant preservation","Inv s -> Inv (outerStep s)",finite,design-candidate,not-yet-checked,evidence-only,next,,"Derive Inv for every finite iteration count"
EAT-26,Future,"projection/archive normal-form laws","idempotence + deterministic max insertion",finite,design-candidate,not-yet-checked,evidence-only,next,,"Potential algebraic simplification and commuting laws"
EAT-27,Future,"finite path equivalence/confluence","independent component steps commute",finite,design-candidate,not-yet-checked,evidence-only,next,,"Avoids infinite rewrite-system arguments"
EAT-28,Future,"finite terminal-optimality certificate","finite candidate enumeration",finite,design-candidate,not-yet-checked,evidence-only,next,,"Finite optimum only; no infinite global optimum claim"
EAT-29,Future,"finite OpenES-to-archive conservation/composition","explicit antithetic estimator + mean update + archive map",finite,requires-current-surface-audit,not-yet-checked,evidence-only,next,,"Do not upgrade to stochastic/global convergence"
