ID,Area,Source_or_Reference,Verified_Finding,Algebra_or_Definition,Theorem_or_Status,Conjecture_or_Gap,Replication_Procedure,Current_Evidence,Missing_Evidence,Next_Action
R01,Architecture,Project specification,"One representation layer is modeled as Affine + LayerNorm(L1 or L2) + coupled L2, with one LSTM layer and bounded tanh/sigmoid gates.","h = affine(x); LN(h); coupled-L2 penalty is explicit; recurrent nonlinearities remain internal to LSTM.",Established design contract,"End-to-end monolithic theorem still requires kernel closure.","Run the same --safe gate after every source-normalization step.","Pre-monolith component checks have passed in CI.","Fresh green CompleteSafe_v147 on main is still missing.","Continue minimal parser/proof closure until the authoritative monolith is green."
R02,Efficient-CHAD,Efficient-CHAD Agda,"Finite source-to-source CHAD semantics and reverse evaluation are already represented as self-contained safe modules.","Finite syntax, evaluation, reverse evaluation, semantic preservation, and linear work identities are encoded algebraically.","The finite transliteration is kernel-checkable; paper-level optimized cost theorem is not claimed.","Full correspondence to the upstream cost theorem remains a formalization gap.","Compare each finite rule with upstream Efficient-CHAD structural cases and add only finite-carrier lemmas.","EfficientCHADSourceToSource passes its dedicated --safe gate.","Complete optimized cost/correctness integration into the monolith.","Port the remaining cost proof architecture without importing full real analysis or external libraries."
R03,LayerNorm-L2,Finite algebra,"L2 normalization can be represented with a domain-carrying square-root law and total reciprocal whose useful laws carry witnesses.","sqrtDomain : R -> Set; sqrtSquareLaw : sqrtDomain x -> sqrt x * sqrt x = x; reciprocal law carries nonzero/positive domain.","Domain-carrying closure is structurally compatible with --safe.","Monolithic parser/proof integration is incomplete.","Require and propagate denominator-domain witnesses explicitly through forward and VJP laws.","RepresentationLayerNormClosure passes its dedicated --safe gate.","Fresh monolith green plus end-to-end VJP theorem coverage.","Finish monolith parser/proof closure, then remove temporary repair machinery."
R04,LayerNorm-L1,Wu et al. 2019; project L1 ablation,"L1 normalization avoids square/root operations and is algebraically easier in the forward map.","L1 scale uses absolute values; away from zero a sign/absolute-value contract can be stated algebraically.","Finite forward algebra is feasible; exact classical reverse-mode differentiation at zero is not automatic.","Need an explicit zero/subgradient convention or a nonzero-domain theorem for abs/sign VJP.","Define abs/sign primitives and prove their finite algebraic identities on the chosen domain; isolate zero as a documented branch.","Literature reports linear forward/backward operations for L1BN and approximate correspondence to L2BN by scaling.","Kernel-checked abs/sign VJP closure is not yet part of the authoritative monolith.","Add an algebraic L1 ablation module with explicit zero behavior; do not weaken the L2 canonical proof."
R05,Gallici TD convergence,Gallici et al. ICLR 2025,"LayerNorm + L2 regularization is directionally aligned with the proposed learner stabilization architecture.","Finite analogue: bounded representation map + explicit coupled-L2 update + one-step TD residual identity + finite Jacobian/VJP bounds.","The full published convergence proof is not directly a finite-algebra theorem.","Sampling, analytic bounds, gradients/Hessians, and wide-network asymptotics are outside the current finite algebra scope.","Extract only algebraic lemmas that can be stated over finite carriers and exact equality/inequality assumptions.","The architecture already contains LayerNorm, coupled-L2, bounded LSTM activations, and finite VJP surfaces.","A kernel-proven theorem matching the full Gallici convergence statement is missing.","Formalize a finite one-step stability certificate rather than claiming the published global convergence theorem."
R06,LSTM,FirstClassRecurrentCHAD,"Internal tanh/sigmoid in the LSTM are legitimate recurrent nonlinearities; redundant standalone representation tanh has been removed.","Gate/cell equations remain part of the recurrent primitive; external representation tanh is not an additional semantic stage.","First-class recurrent CHAD module is --safe green.","End-to-end monolith linkage to the learner remains to be closed.","Preserve exact recurrent state carry and reverse-VJP contracts while integrating LayerNorm/L2 around the single representation layer.","Git history records removal of redundant external tanh while retaining LSTM tanh/sigmoid.","Fresh monolith proof connecting recurrence, normalization, and learner update.","Integrate the already-safe recurrent theorem without reintroducing the redundant tanh."
R07,Kernel gate,Agda 2.8.0 authoritative CI,"All component gates preceding CompleteSafe_v147 pass; the current blocker is the monolith parser surface.","Parser normalization uses qualified Ring._*_ and Ring._+_ expressions to disambiguate opened record operators.","Not yet green on CompleteSafe_v147.","Remaining declarations may expose the same overloaded-operator grammar issue recursively.","For each new compiler diagnostic, isolate one declaration, make the smallest structural source repair, rerun the complete gate.","Latest CI reaches all component checks before the monolith; exact-rational oracle runs independently.","A fresh green authoritative run on the eventual cleanup commit.","Continue recursive repair; only persist source changes proven by the kernel."
R08,Exact oracle,Functional exact-rational oracle,"Independent exact-rational oracle remains separate from proof premises and is used only as a cross-check.","Rational arithmetic verifies finite identities numerically/exactly outside Agda without replacing Agda proofs.","Oracle runs have passed on prior closure commits; latest branch run is tracked independently.","No oracle result can certify a theorem that Agda has not kernel-checked.","Run oracle and Agda independently; compare outputs after each semantic change.","Dedicated Functional exact-rational oracle workflow exists.","Fresh paired green results at final head.","Keep the oracle as an independent audit lane."
R09,Security CI,Existing repository Actions,"Astro/Rails/Go security-check workflows are treated as existing infrastructure per project configuration; they are orthogonal to the Agda theorem gate.","Security workflows validate ecosystem/dependency/application concerns; Agda validates theorem terms and type checking.","Infrastructure is not part of the algebraic theorem proof.","The present connector pass does not independently certify every other repository's security workflow execution.","Retain the installed security checks and record their scope separately from theorem claims.","User-provided project state says Astro, Rails, and Go security-check YAML Actions are installed.","Cross-repository fresh security-run inventory.","Do not conflate security green with Agda theorem green; audit those workflows separately."
R10,Replication record,Corsane-2022-style project convention,"The project uses flat, machine-readable replication prompts with direct raw task returns and complete phenotype/provenance metadata.","CSV schema keeps claims, algebra, theorem status, gaps, evidence, and next action in separate columns.","This document is the wiki-ready replication prompt artifact.","No canonical external Corsane 2022 paper defining this exact CSV schema was located; the format is a project replication convention derived from prior stored prompts.","Append each new verified theorem or failed gate as a new row; never insert historical fitness into fresh results.","Prior project files explicitly use the phrase 'Corsane-2022-style CSV'.","External provenance for the exact formatting convention is not independently established.","Use this file as the replication contract and preserve the limitation note."
R11,Conjecture,Project-specific,"Finite LayerNorm + coupled-L2 + bounded LSTM + finite CHAD should admit a compositional finite stability certificate for the one-layer learner.","Compose per-layer affine, normalization-domain, bounded nonlinear, regularization, and TD residual lemmas over finite carriers.","Conjecture only; not yet proved as a global convergence theorem.","Need explicit hypotheses strong enough to make the certificate compositional without importing real analysis.","Construct the certificate module-by-module, then connect it to the learner update and recurrence.","Existing safe component modules provide the structural pieces.","No monolithic finite certificate has passed the kernel gate yet.","Make this the principal theorem frontier after parser closure."
R12,Future replication,Next,"Re-run the complete artifact from the first green monolith commit across independent environments/toolchains.","Record Agda version, exact commit, oracle commit, workflow run IDs, algebra assumptions, theorem names, and all omitted analytic assumptions.","Replication target is procedural rather than yet completed.","Independent rerun and alternate finite-carrier instantiations are still missing.","Clone, run all --safe gates, run exact-rational oracle, compare theorem names and source hashes, then audit security workflows independently.","Current workflow and module structure already define most of this protocol.","Fresh independent replication package is missing.","After main is green, create a clean replication branch and replay the proof and oracle lanes from scratch."
